a,b,c,d,e,f
춘천 효자3동점,033-253-2271,강원도,춘천시,효자3동 756-6,강원도 춘천시 효자3동 756-6
원주 단계점,033-766-8861,강원도,원주시,명륜1동 308-25,강원도 원주시 명륜1동 308-25
강릉 옥천점,033-647-6420,강원도,강릉시,옥천동 157-6 1층,강원도 강릉시 옥천동 157-6 1층
강릉 포남점,033-651-8966,강원도,강릉시,포남동 1190-2,강원도 강릉시 포남동 1190-2
동해 발한점,033-532-5274,강원도,동해시,발한동 17-5 점포1층,강원도 동해시 발한동 17-5 점포1층
동해 천곡점,033-535-2747,강원도,동해시,천곡동 1029-2 1층,강원도 동해시 천곡동 1029-2 1층
속초 조양점(취),033-636-6898,강원도,속초시,조양동 1497-6,강원도 속초시 조양동 1497-6
삼척 도계점,033-541-3254,강원도,삼척시,도계읍 도계로 215 (구조소:전두리 81-28),강원도 삼척시 도계읍 도계로 215 
강원 대화점(취),033-333-2753,강원도,평창군,대화면 대화9리 1001-130,강원도 평창군 대화면 대화9리 1001-130
강원 영월점,033-374-0422,강원도,영월군,영월읍 영흥5리 979-6,강원도 영월군 영월읍 영흥5리 979-6
강원 정선점,033-563-0160,강원도,정선군,정선읍 봉양리 344-4,강원도 정선군 정선읍 봉양리 344-4
강원 진부점,033-335-9752,강원도,평창군,진부면 하진부리 206-72,강원도 평창군 진부면 하진부리 206-72
강원 홍천점,033-434-2406,강원도,홍천군,홍천읍 신장대리 9-6,강원도 홍천군 홍천읍 신장대리 9-6
원주 명륜점,033-763-7720,강원도,원주시,명륜동 277-10번지,강원도 원주시 명륜동 277-10번지
원주 중앙점,033-732-3999,강원도,원주시,중앙동 56-4,강원도 원주시 중앙동 56-4
춘천 운교점,033-255-0750,강원도,춘천시,운교동 179,강원도 춘천시 운교동 179
춘천 퇴계점,033-255-0493,강원도,춘천시,퇴계동 383-2 롯데슈퍼옆,강원도 춘천시 퇴계동 383-2 롯데슈퍼옆
춘천 신사우점,033-242-3617,강원도,춘천시,우두동 693-6번지,강원도 춘천시 우두동 693-6번지
태백 장성점(취),033-581-2001,강원도,태백시,장성동 160-18,강원도 태백시 장성동 160-18
태백 황지점,033-552-9957,강원도,태백시,황지동 38-193(자유시장內),강원도 태백시 황지동 38-193
강원삼척(직),033-572-2543,강원도 ,삼척시,당저동 33-3번지 홈플러스 1층 홈앤이브,강원도  삼척시 당저동 33-3번지 홈플러스 1층 홈앤이브
코디센 진접점,031-571-6272,경기도,남양주시,진접읍 장현리 207-8,경기도 남양주시 진접읍 장현리 207-8
(신)이천 창전1점,031-635-2783,경기도,이천시,창전동 156-4번지,경기도 이천시 창전동 156-4번지
이천 창전2점,031-637-2783,경기도,이천시,창전동 149-8번지,경기도 이천시 창전동 149-8번지
코디센 역곡점,032-343-2229,경기도,부천시,소사구 괴안동 109,경기도 부천시 소사구 괴안동 109
코디센 권선점,031-231-1213,경기도,수원시,권선구 권선동 990-4 혼수명품관 1층,경기도 수원시 권선구 권선동 990-4 혼수명품관 1층
군포 산본중앙점,031-396-5433,경기도,군포시,산본동 236-7,경기도 군포시 산본동 236-7
기흥 신갈점,031-281-8778,경기도,용인시,기흥구 신갈동 61-5,경기도 용인시 기흥구 신갈동 61-5
코디센 평내점,031-592-2588,경기도,남양주시,평내동 203-2 혜림빌딩 1층,경기도 남양주시 평내동 203-2 혜림빌딩 1층
부천 부천역점,032-663-9275,경기도,부천시 ,소사구 심곡본동 560번지 심곡파라곤 1층,경기도 부천시  소사구 심곡본동 560번지 심곡파라곤 1층
광주 곤지암점,031-797-5950,경기도,광주시,초월읍 쌍동리 175,경기도 광주시 초월읍 쌍동리 175
(신)하남,031-795-2979,경기도,하남시,덕풍동 309-63,경기도 하남시 덕풍동 309-63
광주 역동점,031-798-5283,경기도,광주시,역동 27-63,경기도 광주시 역동 27-63
성남 수진점,031-756-7323,경기도,성남시,수정구 수진1동 53번지 1층,경기도 성남시 수정구 수진1동 53번지 1층
성남 야탑점,031-703-5155,경기도,성남시,분당구 야탑동 382-3호,경기도 성남시 분당구 야탑동 382-3호
성남 중동점,031-743-3004,경기도,성남시,중원구 중동 149,경기도 성남시 중원구 중동 149
하남 베스코아점,031-795-8321,경기도,하남시,신장동 523-1 현대베스코아 1층,경기도 하남시 신장동 523-1 현대베스코아 1층
고양 고양점,031-964-1502,경기도,고양시,덕양구 고양동 197번지 삼성단지 내 상가 101호,경기도 고양시 덕양구 고양동 197번지 삼성단지 내 상가 101호
고양 주교점,031-965-0958,경기도,고양시,덕양구 주교동 609-3 코스모프라자 106-107호,경기도 고양시 덕양구 주교동 609-3 코스모프라자 106-107호
고양 행신점,031-970-4007,경기도,고양시,덕양구 행신동 726-5,경기도 고양시 덕양구 행신동 726-5
고양 화정점,031-811-7973,경기도,고양시,"덕양구 화정동 984 서일빌딩 1층 108,109호","경기도 고양시 덕양구 화정동 984 서일빌딩 1층 108,109호"
김포 북변점,031-985-8306,경기도,김포시,북변동 341-2,경기도 김포시 북변동 341-2
김포 통진점,031-989-0999,경기도,김포시,통진읍 도사리 657-3,경기도 김포시 통진읍 도사리 657-3
김포 한강신도시점(취),031-986-2942,경기도,김포시,장기동 1444번지 명가침구,경기도 김포시 장기동 1444번지 명가침구
일산 백석점,031-811-2201,경기도,고양시,일산동구 백석동 1288-2 남정 골드프라자 114호,경기도 고양시 일산동구 백석동 1288-2 남정 골드프라자 114호
일산 일산2동점,031-975-3737,경기도,고양시,일산구 일산2동 646-1,경기도 고양시 일산구 일산2동 646-1
일산 주엽점,031-919-7449,경기도,고양시,일산구 주엽동 83 강선마을12단지상가제에스 2호,경기도 고양시 일산구 주엽동 83 강선마을12단지상가제에스 2호
일산 탄현점,031-919-5888,경기도,고양시,일산서구 덕이동 303-9,경기도 고양시 일산서구 덕이동 303-9
파주 운정점,,경기도,파주시,"가람로 2번지. 센타프라자 108, 109호","경기도 파주시 가람로 2번지. 센타프라자 108, 109호"
